route_date_key,date,year,month,quarter,day_of_week,region,bu,area,route_id,primary_waste_stream,primary_customer_segment,num_drivers,num_trucks,total_stops,completed_stops,missed_stops,total_distance_km,total_fuel_used_litres,total_labour_hours,total_yards,total_tonnes,avg_revenue_per_stop,total_revenue,disposal_cost,fuel_cost,labour_cost,maintenance_cost,admin_cost,total_cost,net_revenue,gross_profit,gross_margin_pct,scheduled_hours,actual_hours,delay_minutes,on_time_flag,incident_flag,incident_type
RDK-0000011,2024-05-01,2024,5,Q2,Wednesday,Atlantic,Atlantic BU,Moncton,RTE-0038,Recycling,Restaurant & Food Service,2,2,169,166,3,222.5,142.9,16.23,322.1,29.73,87.81,14576.21,768.86,203.5,858.08,52.98,414.17,2297.59,13807.35,12278.62,84.24,16.95,16.95,0,1,0,None
RDK-0000012,2023-03-10,2023,3,Q1,Friday,Prairies,Prairies BU,Regina,RTE-0106,General Waste,Retail,1,1,157,155,2,252.4,125.2,17.05,288.4,48.9,67.25,10423.82,4664.76,207.71,727.75,56.63,419.97,6076.82,5759.06,4347.0,41.7,17.89,17.94,3,1,0,None
RDK-0000013,2022-07-30,2022,7,Q3,Saturday,Quebec,Quebec BU,Montreal,RTE-0099,Recycling,Restaurant & Food Service,1,1,125,125,0,170.7,107.6,14.27,256.7,24.78,64.18,8022.19,982.97,193.73,611.12,63.69,319.94,2171.45,7039.22,5850.74,72.93,14.81,14.88,4,1,0,None
RDK-0000014,2023-11-11,2023,11,Q4,Saturday,Quebec,Quebec BU,Quebec City,RTE-0104,General Waste,Retail,1,1,140,134,6,184.9,103.4,14.28,232.6,45.65,43.97,5891.53,3134.19,180.88,539.38,80.17,232.24,4166.86,2757.34,1724.67,29.27,14.49,14.51,1,1,0,None
RDK-0000015,2024-02-15,2024,2,Q1,Thursday,Atlantic,Atlantic BU,Moncton,RTE-0113,Cardboard,Restaurant & Food Service,2,2,136,136,0,231.9,114.9,18.17,244.1,13.97,53.56,7284.55,440.18,195.57,870.6,78.54,230.86,1815.75,6844.37,5468.8,75.07,19.58,19.58,0,1,0,None
RDK-0000016,2022-10-03,2022,10,Q4,Monday,Atlantic,Atlantic BU,Halifax,RTE-0030,General Waste,Restaurant & Food Service,1,1,157,151,6,341.3,191.9,24.64,275.2,55.64,90.24,13626.05,3116.7,335.24,1461.26,105.55,588.46,5607.21,10509.35,8018.84,58.85,25.92,26.85,56,0,0,None
RDK-0000017,2022-06-30,2022,6,Q2,Thursday,Ontario,GTA BU,Brampton,RTE-0100,Organics,Restaurant & Food Service,2,2,132,128,4,225.4,114.4,17.29,242.9,59.46,37.68,4823.11,3425.76,172.12,622.8,51.95,119.41,4392.04,1397.35,431.07,8.94,16.7,16.82,7,1,0,None
RDK-0000018,2022-08-20,2022,8,Q3,Saturday,Atlantic,Atlantic BU,Halifax,RTE-0063,Recycling,Retail,1,1,114,110,4,190.1,88.6,14.56,209.8,20.53,45.39,4992.49,469.55,159.54,578.9,49.67,227.08,1484.74,4522.94,3507.75,70.26,15.13,15.16,2,1,0,None
RDK-0000019,2024-11-15,2024,11,Q4,Friday,Alberta,Edmonton BU,St. Albert,RTE-0114,General Waste,Retail,1,1,146,140,6,248.1,110.2,19.83,260.4,49.68,30.16,4223.01,4094.2,198.91,989.92,94.37,135.13,5512.53,128.81,-1289.52,-30.54,17.83,17.83,0,1,0,None
RDK-0000020,2022-02-18,2022,2,Q1,Friday,Atlantic,Atlantic BU,Fredericton,RTE-0020,General Waste,Retail,1,1,128,128,0,196.6,94.2,14.85,210.9,36.4,29.29,3749.36,2954.04,130.17,538.13,72.45,188.87,3883.66,795.32,-134.3,-3.58,16.07,17.22,69,0,0,None
RDK-0000021,2024-09-17,2024,9,Q3,Tuesday,Prairies,Prairies BU,Regina,RTE-0019,Recycling,Retail,2,2,177,176,1,274.2,137.7,21.75,358.6,33.63,45.86,8071.76,1322.97,239.64,968.97,74.28,311.03,2916.89,6748.79,5154.87,63.86,22.41,23.11,42,0,0,None
RDK-0000022,2024-11-11,2024,11,Q4,Monday,Ontario,Central Ontario BU,Sudbury,RTE-0101,Organics,Industrial,1,1,122,122,0,179.4,97.2,13.48,232.1,60.57,85.64,10448.14,4243.4,174.12,670.86,58.29,465.42,5612.09,6204.74,4836.05,46.29,13.95,14.63,41,0,0,None
RDK-0000023,2022-11-03,2022,11,Q4,Thursday,Prairies,Prairies BU,Regina,RTE-0019,Recycling,Retail,1,1,172,170,2,317.5,192.0,18.72,284.6,30.54,53.03,9014.75,1094.14,353.18,823.63,126.5,604.15,3001.6,7920.61,6013.15,66.7,19.48,19.48,0,1,0,None
RDK-0000024,2022-07-12,2022,7,Q3,Tuesday,Quebec,Quebec BU,Montreal,RTE-0099,Recycling,Restaurant & Food Service,1,1,132,132,0,212.4,101.2,15.75,257.9,24.45,72.05,9511.07,954.16,137.52,744.65,55.41,430.49,2322.23,8556.91,7188.84,75.58,17.07,17.3,14,1,0,None
RDK-0000025,2023-10-27,2023,10,Q4,Friday,BC,BC BU,Surrey,RTE-0041,General Waste,Restaurant & Food Service,1,1,163,163,0,339.6,151.9,18.2,301.0,52.41,53.62,8739.6,3933.29,239.13,861.81,98.01,445.01,5577.25,4806.31,3162.35,36.18,20.12,20.44,19,1,0,None
RDK-0000026,2023-04-29,2023,4,Q2,Saturday,BC,BC BU,Surrey,RTE-0039,General Waste,Industrial,1,1,181,180,1,307.6,157.5,26.28,342.2,58.41,78.49,14127.3,4491.22,228.33,1182.84,113.61,688.24,6704.24,9636.08,7423.06,52.54,27.48,28.26,47,0,0,None
RDK-0000027,2022-06-29,2022,6,Q2,Wednesday,Quebec,Quebec BU,Montreal,RTE-0043,Recycling,Retail,2,2,126,122,4,180.8,110.0,15.28,227.7,20.29,48.51,5918.13,661.9,226.58,561.35,59.14,204.23,1713.2,5256.23,4204.93,71.05,16.53,16.53,0,1,0,None
RDK-0000028,2023-02-25,2023,2,Q1,Saturday,BC,BC BU,Vancouver,RTE-0017,Recycling,Restaurant & Food Service,1,1,141,141,0,251.6,156.2,16.91,240.9,23.64,67.54,9523.03,737.5,259.98,804.88,63.22,468.91,2334.49,8785.53,7188.54,75.49,16.96,16.96,0,1,0,None
RDK-0000029,2023-08-01,2023,8,Q3,Tuesday,Atlantic,Atlantic BU,Halifax,RTE-0111,General Waste,Office & Commercial,1,1,126,126,0,153.2,82.1,16.52,252.5,43.9,57.36,7227.5,3402.91,133.31,849.51,68.61,454.1,4908.44,3824.59,2319.06,32.09,17.16,17.16,0,1,0,None
RDK-0000030,2022-07-19,2022,7,Q3,Tuesday,Prairies,Prairies BU,Regina,RTE-0006,Cardboard,Restaurant & Food Service,2,2,100,95,5,190.3,90.8,14.26,186.6,11.35,44.94,4269.7,441.45,117.69,545.58,78.75,121.79,1305.26,3828.25,2964.44,69.43,15.28,15.96,41,0,0,None
RDK-0000031,2024-07-30,2024,7,Q3,Tuesday,Prairies,Prairies BU,Regina,RTE-0011,Organics,Healthcare,1,1,159,157,2,248.3,150.3,17.86,343.7,83.17,92.62,14541.32,4171.85,261.27,773.87,97.29,766.41,6070.69,10369.47,8470.63,58.25,18.63,19.23,36,0,0,None
RDK-0000032,2023-12-05,2023,12,Q4,Tuesday,Quebec,Quebec BU,Montreal,RTE-0098,Recycling,Office & Commercial,1,1,124,122,2,228.1,104.5,14.45,221.4,22.55,53.24,6495.71,820.48,189.82,594.93,46.82,310.95,1963.0,5675.23,4532.71,69.78,14.94,15.26,19,1,0,None
RDK-0000033,2024-11-30,2024,11,Q4,Saturday,BC,BC BU,Abbotsford,RTE-0107,General Waste,Office & Commercial,1,1,116,116,0,241.8,144.0,18.39,224.2,40.39,50.41,5847.59,2245.0,231.17,855.33,86.78,179.18,3597.46,3602.59,2250.13,38.48,19.73,20.33,36,0,0,None
RDK-0000034,2024-08-07,2024,8,Q3,Wednesday,Prairies,Prairies BU,Regina,RTE-0072,General Waste,Restaurant & Food Service,1,1,116,114,2,201.9,99.5,13.24,243.2,46.88,85.23,9716.14,3714.32,159.14,473.27,50.08,313.57,4710.38,6001.82,5005.76,51.52,14.11,14.11,0,1,0,None
RDK-0000035,2023-01-28,2023,1,Q1,Saturday,Ontario,Central Ontario BU,Barrie,RTE-0092,Recycling,Restaurant & Food Service,1,1,147,146,1,176.9,102.3,17.02,241.3,23.94,56.07,8185.92,619.43,166.93,690.28,44.2,242.2,1763.04,7566.49,6422.88,78.46,17.45,17.6,9,1,0,None
RDK-0000036,2024-09-27,2024,9,Q3,Friday,Prairies,Prairies BU,Winnipeg,RTE-0013,General Waste,Industrial,2,2,173,168,5,348.0,217.0,27.21,351.6,59.58,67.69,11372.3,4751.49,348.46,1360.1,99.77,227.05,6786.87,6620.81,4585.43,40.32,28.98,28.98,0,1,0,None
RDK-0000037,2024-05-11,2024,5,Q2,Saturday,Quebec,Quebec BU,Longueuil,RTE-0046,General Waste,Industrial,1,1,100,100,0,232.3,119.9,12.48,204.9,36.28,120.56,12056.17,2042.99,199.78,688.2,58.18,553.43,3542.58,10013.18,8513.59,70.62,13.26,13.63,22,0,0,None
RDK-0000038,2024-10-19,2024,10,Q4,Saturday,BC,BC BU,Vancouver,RTE-0017,Recycling,Restaurant & Food Service,1,1,148,143,5,236.6,145.2,16.54,281.1,27.42,65.86,9418.14,804.65,290.26,688.82,99.77,242.0,2125.5,8613.49,7292.64,77.43,17.38,17.51,8,1,0,None
RDK-0000039,2023-03-09,2023,3,Q1,Thursday,Atlantic,Atlantic BU,Halifax,RTE-0024,General Waste,Restaurant & Food Service,1,1,172,169,3,358.3,205.6,25.21,304.9,52.28,64.18,10847.16,4686.34,357.62,968.12,131.79,549.66,6693.53,6160.82,4153.63,38.29,24.17,24.64,28,0,1,Vehicle Damage
RDK-0000040,2022-06-23,2022,6,Q2,Thursday,BC,BC BU,Burnaby,RTE-0009,General Waste,Retail,1,1,156,156,0,203.9,109.8,19.34,292.4,51.5,51.42,8021.81,3407.01,189.6,740.77,64.05,354.9,4756.33,4614.8,3265.48,40.71,21.27,21.6,20,0,0,None
RDK-0000041,2023-01-30,2023,1,Q1,Monday,Prairies,Prairies BU,Regina,RTE-0011,Organics,Healthcare,1,1,165,165,0,302.7,164.3,22.14,291.0,71.4,70.13,11571.83,4755.68,231.96,924.41,62.77,362.1,6336.92,6816.15,5234.91,45.24,24.79,24.79,0,1,0,None
RDK-0000042,2022-02-17,2022,2,Q1,Thursday,Alberta,Edmonton BU,Edmonton North,RTE-0087,Cardboard,Office & Commercial,1,1,183,182,1,334.4,164.8,21.49,302.3,19.51,33.39,6076.94,528.18,287.22,822.79,132.72,288.11,2059.02,5548.76,4017.92,66.12,22.02,22.05,2,1,0,None
RDK-0000043,2022-11-01,2022,11,Q4,Tuesday,Atlantic,Atlantic BU,Fredericton,RTE-0102,Recycling,Restaurant & Food Service,1,1,132,131,1,242.6,125.6,17.31,220.2,20.97,70.93,9291.2,701.44,218.9,866.12,92.64,510.79,2389.89,8589.76,6901.31,74.28,18.09,18.39,18,1,0,None
RDK-0000044,2024-12-09,2024,12,Q4,Monday,Quebec,Quebec BU,Quebec City,RTE-0085,Recycling,Office & Commercial,1,1,129,127,2,311.6,132.1,17.17,227.2,23.32,61.87,7857.06,817.2,229.02,713.04,105.73,267.24,2132.23,7039.86,5724.83,72.86,18.66,19.04,23,0,0,None
RDK-0000045,2023-04-21,2023,4,Q2,Friday,Atlantic,Atlantic BU,Moncton,RTE-0016,Recycling,Restaurant & Food Service,1,1,172,170,2,296.4,166.9,19.9,310.0,29.92,52.63,8946.91,604.58,237.57,815.63,51.14,258.72,1967.64,8342.33,6979.27,78.01,20.89,21.54,39,0,0,None
RDK-0000046,2023-09-11,2023,9,Q3,Monday,Ontario,Central Ontario BU,Peterborough,RTE-0033,Cardboard,Retail,1,1,100,99,1,167.2,75.9,11.29,191.2,10.61,55.07,5451.57,327.54,153.86,469.07,42.21,147.16,1139.84,5124.03,4311.73,79.09,11.05,11.67,37,0,0,None
RDK-0000047,2024-10-30,2024,10,Q4,Wednesday,Ontario,Central Ontario BU,Sudbury,RTE-0101,Organics,Industrial,1,1,142,140,2,255.1,156.3,18.32,284.3,76.4,81.39,11394.19,4329.87,275.81,706.62,79.84,396.65,5788.79,7064.32,5605.4,49.2,19.08,19.33,15,1,0,None
RDK-0000048,2022-12-20,2022,12,Q4,Tuesday,BC,BC BU,Surrey,RTE-0039,General Waste,Industrial,1,1,154,154,0,220.5,144.7,15.97,264.4,47.76,69.69,10732.16,3972.19,256.75,678.71,70.69,576.3,5554.64,6759.97,5177.52,48.24,17.4,18.75,81,0,0,None
RDK-0000049,2023-08-11,2023,8,Q3,Friday,Quebec,Quebec BU,Longueuil,RTE-0065,General Waste,Office & Commercial,2,2,158,153,5,356.9,166.5,21.37,306.4,50.31,55.17,8441.26,3244.3,256.67,1008.02,198.72,399.08,5106.79,5196.96,3334.47,39.5,20.69,21.19,30,0,0,None
RDK-0000050,2023-04-19,2023,4,Q2,Wednesday,Atlantic,Atlantic BU,Halifax,RTE-0040,General Waste,Retail,1,1,139,134,5,225.1,108.5,15.57,256.6,45.58,37.28,4996.04,3952.8,188.02,656.7,82.89,132.15,5012.56,1043.24,-16.52,-0.33,14.92,14.92,0,1,0,None
RDK-0000051,2024-07-29,2024,7,Q3,Monday,Atlantic,Atlantic BU,Halifax,RTE-0024,General Waste,Restaurant & Food Service,2,2,147,143,4,239.0,162.8,17.81,319.0,60.89,79.48,11366.31,6338.74,288.49,945.66,69.43,435.79,8078.11,5027.57,3288.2,28.93,18.49,18.49,0,1,0,None
RDK-0000052,2024-09-03,2024,9,Q3,Tuesday,Atlantic,Atlantic BU,Fredericton,RTE-0010,General Waste,Restaurant & Food Service,1,1,154,149,5,240.9,103.0,17.61,297.3,52.82,63.14,9408.27,4525.86,185.25,921.0,37.77,276.44,5946.32,4882.41,3461.95,36.8,19.09,19.26,10,1,0,None
RDK-0000053,2022-04-27,2022,4,Q2,Wednesday,BC,BC BU,Vancouver,RTE-0080,Recycling,Industrial,1,1,139,138,1,174.2,100.8,18.69,254.8,26.6,57.82,7978.66,705.04,165.67,873.26,67.03,332.59,2143.59,7273.62,5835.07,73.13,19.43,20.13,42,0,0,None
RDK-0000054,2024-08-19,2024,8,Q3,Monday,Ontario,GTA BU,Toronto North,RTE-0026,General Waste,Office & Commercial,1,1,185,184,1,352.1,224.6,31.86,393.1,70.9,53.01,9753.25,5407.02,356.76,1502.52,73.36,264.43,7604.09,4346.23,2149.16,22.04,31.79,31.79,0,1,0,None
RDK-0000055,2024-10-08,2024,10,Q4,Tuesday,Atlantic,Atlantic BU,Fredericton,RTE-0007,Recycling,Healthcare,1,1,164,164,0,275.2,121.5,22.35,330.3,31.54,85.61,14039.98,1339.5,203.43,1000.06,101.6,504.23,3148.82,12700.48,10891.16,77.57,23.67,24.02,21,0,0,None
RDK-0000056,2022-01-27,2022,1,Q1,Thursday,Prairies,Prairies BU,Regina,RTE-0019,Recycling,Retail,1,1,167,167,0,304.5,151.9,19.52,278.5,31.89,52.65,8793.3,1233.99,204.31,966.18,58.83,342.24,2805.55,7559.31,5987.75,68.09,18.86,19.04,11,1,0,None
RDK-0000057,2023-04-03,2023,4,Q2,Monday,Ontario,GTA BU,Markham,RTE-0018,General Waste,Retail,1,1,145,145,0,288.5,139.7,16.61,276.7,48.75,48.61,7048.96,3735.64,234.57,615.8,100.22,210.13,4896.36,3313.32,2152.6,30.54,17.87,17.87,0,1,0,None
RDK-0000058,2023-04-18,2023,4,Q2,Tuesday,Quebec,Quebec BU,Montreal,RTE-0064,General Waste,Office & Commercial,1,1,182,179,3,334.2,177.0,24.6,346.2,70.22,22.13,3961.65,6015.25,344.73,1617.59,109.94,125.58,8213.09,-2053.6,-4251.44,-107.31,26.29,26.61,19,1,0,None
RDK-0000059,2022-01-26,2022,1,Q1,Wednesday,Ontario,Central Ontario BU,Peterborough,RTE-0033,Cardboard,Retail,2,2,121,117,4,182.1,106.6,14.95,200.8,11.77,32.89,3848.12,253.86,190.46,733.57,71.55,173.64,1423.08,3594.26,2425.04,63.02,14.46,14.46,0,1,0,None
RDK-0000060,2023-01-04,2023,1,Q1,Wednesday,Alberta,Calgary BU,Calgary SE,RTE-0116,General Waste,Industrial,1,1,143,142,1,255.4,149.8,17.12,246.5,48.54,49.83,7076.18,3785.96,256.01,683.4,89.58,214.62,5029.57,3290.22,2046.61,28.92,18.41,18.41,0,1,0,None
RDK-0000061,2023-04-20,2023,4,Q2,Thursday,BC,BC BU,Surrey,RTE-0039,General Waste,Industrial,1,1,149,144,5,256.8,122.7,18.89,272.5,51.72,50.35,7250.19,3860.16,207.08,616.63,112.75,315.2,5111.82,3390.03,2138.37,29.49,19.97,19.97,0,1,0,None
RDK-0000062,2024-09-27,2024,9,Q3,Friday,Prairies,Prairies BU,Regina,RTE-0072,General Waste,Restaurant & Food Service,2,2,127,126,1,210.0,118.2,14.56,244.7,44.86,58.01,7309.16,2961.15,182.74,572.71,43.42,313.49,4073.51,4348.01,3235.65,44.27,15.91,16.53,37,0,0,None
RDK-0000063,2022-01-22,2022,1,Q1,Saturday,Prairies,Prairies BU,Winnipeg,RTE-0096,Recycling,Retail,2,2,132,130,2,270.6,134.2,19.02,218.8,21.82,39.47,5131.58,831.27,205.33,857.48,57.38,175.93,2127.39,4300.31,3004.19,58.54,19.39,19.81,25,0,0,None
RDK-0000064,2022-01-17,2022,1,Q1,Monday,Alberta,Calgary BU,Calgary SE,RTE-0116,General Waste,Industrial,1,1,149,145,4,349.6,184.7,22.15,242.4,40.72,43.8,6351.7,3393.49,312.93,900.03,74.43,296.93,4977.81,2958.21,1373.89,21.63,23.68,23.96,17,1,0,None
RDK-0000065,2022-02-05,2022,2,Q1,Saturday,BC,BC BU,Burnaby,RTE-0054,General Waste,Industrial,1,1,103,101,2,156.8,88.0,12.97,167.9,30.4,57.34,5791.42,2111.55,121.53,696.25,62.32,228.02,3219.67,3679.87,2571.75,44.41,12.22,13.17,57,0,0,None
RDK-0000066,2023-03-24,2023,3,Q1,Friday,Alberta,Calgary BU,Calgary SE,RTE-0051,Recycling,Retail,1,1,131,128,3,234.5,128.5,18.22,223.7,22.33,65.83,8426.51,810.22,237.61,780.58,59.4,313.82,2201.63,7616.29,6224.88,73.87,17.61,17.71,6,1,0,None
RDK-0000067,2022-09-21,2022,9,Q3,Wednesday,Quebec,Quebec BU,Quebec City,RTE-0104,General Waste,Retail,1,1,102,99,3,171.0,106.8,12.98,187.9,36.66,49.11,4862.24,2447.48,132.33,523.09,80.89,194.73,3378.52,2414.76,1483.72,30.52,13.89,13.97,5,1,0,None
RDK-0000068,2024-09-25,2024,9,Q3,Wednesday,Atlantic,Atlantic BU,Halifax,RTE-0024,General Waste,Restaurant & Food Service,2,2,153,145,8,205.0,116.8,17.35,301.1,55.97,71.25,10330.97,4887.94,199.2,685.96,37.91,201.47,6012.48,5443.03,4318.49,41.8,18.26,18.71,27,0,0,None
RDK-0000069,2023-11-27,2023,11,Q4,Monday,Prairies,Prairies BU,Regina,RTE-0074,General Waste,Industrial,1,1,166,166,0,261.7,125.3,18.87,306.2,57.21,61.24,10165.36,3885.83,195.81,823.36,98.81,353.13,5356.94,6279.53,4808.42,47.3,20.38,21.16,47,0,0,None
RDK-0000070,2024-02-28,2024,2,Q1,Wednesday,Prairies,Prairies BU,Winnipeg,RTE-0096,Recycling,Retail,1,1,122,122,0,233.1,122.5,13.67,222.7,21.61,39.46,4813.71,394.06,231.65,604.97,44.85,275.85,1551.38,4419.65,3262.33,67.77,12.9,13.32,25,0,0,None
RDK-0000071,2024-09-24,2024,9,Q3,Tuesday,Atlantic,Atlantic BU,Moncton,RTE-0089,Organics,Retail,2,2,133,131,2,311.3,212.9,18.15,250.8,65.29,40.05,5246.58,3359.83,347.33,644.28,88.64,200.74,4640.82,1886.75,605.76,11.55,19.74,20.29,33,0,0,None
RDK-0000072,2023-05-15,2023,5,Q2,Monday,Atlantic,Atlantic BU,Moncton,RTE-0038,Recycling,Restaurant & Food Service,1,1,135,128,7,262.2,130.1,24.51,248.6,26.95,64.05,8198.11,775.71,197.77,990.41,109.99,399.06,2472.94,7422.4,5725.17,69.84,24.71,25.14,26,0,0,None
RDK-0000073,2022-12-30,2022,12,Q4,Friday,BC,BC BU,Vancouver,RTE-0109,Recycling,Office & Commercial,1,1,147,146,1,316.8,202.6,19.0,244.4,23.89,60.1,8774.62,741.14,344.96,879.48,87.43,327.48,2380.49,8033.48,6394.13,72.87,19.54,19.87,20,0,0,None
RDK-0000074,2022-05-19,2022,5,Q2,Thursday,Prairies,Prairies BU,Regina,RTE-0011,Organics,Healthcare,1,1,153,151,2,249.8,147.2,20.61,285.8,73.31,69.7,10524.73,4434.86,260.87,1044.6,65.66,477.4,6283.39,6089.87,4241.34,40.3,20.2,20.4,12,1,0,None
RDK-0000075,2022-11-08,2022,11,Q4,Tuesday,Alberta,Calgary BU,Calgary SE,RTE-0116,General Waste,Industrial,1,1,147,145,2,276.9,139.8,21.97,253.8,47.84,46.84,6791.76,3841.4,259.42,985.11,110.59,301.0,5497.52,2950.36,1294.24,19.06,21.84,21.89,3,1,0,None
RDK-0000076,2023-05-09,2023,5,Q2,Tuesday,Ontario,Central Ontario BU,Peterborough,RTE-0045,General Waste,Restaurant & Food Service,2,2,138,138,0,254.6,124.5,18.67,278.8,51.56,89.41,12338.86,3845.32,246.16,828.37,78.92,600.82,5599.59,8493.54,6739.27,54.62,18.31,18.31,0,1,0,None
RDK-0000077,2023-01-21,2023,1,Q1,Saturday,Prairies,Prairies BU,Winnipeg,RTE-0083,General Waste,Retail,1,1,164,164,0,269.1,158.3,20.52,273.3,49.55,42.52,6973.64,3864.51,278.45,783.05,108.98,391.8,5426.79,3109.13,1546.85,22.18,20.83,20.96,8,1,0,None
RDK-0000078,2022-09-03,2022,9,Q3,Saturday,BC,BC BU,Vancouver,RTE-0005,General Waste,Hospitality,1,1,175,174,1,333.8,199.6,21.0,318.9,56.28,58.29,10141.61,4656.99,290.95,992.59,87.86,523.35,6551.74,5484.62,3589.87,35.4,21.04,21.76,43,0,0,None
RDK-0000079,2023-03-20,2023,3,Q1,Monday,Ontario,GTA BU,Markham,RTE-0058,Recycling,Restaurant & Food Service,1,1,144,143,1,157.4,75.2,20.41,249.6,24.61,67.74,9686.31,945.02,147.95,729.22,59.09,301.38,2182.66,8741.29,7503.65,77.47,21.11,21.11,0,1,0,None
RDK-0000080,2023-05-31,2023,5,Q2,Wednesday,BC,BC BU,Burnaby,RTE-0009,General Waste,Retail,2,2,135,135,0,259.0,151.5,17.15,269.8,49.15,65.17,8797.47,4020.27,278.69,848.73,77.92,489.68,5715.29,4777.2,3082.18,35.03,16.39,17.22,50,0,0,None
RDK-0000081,2023-05-15,2023,5,Q2,Monday,Alberta,Calgary BU,Calgary SE,RTE-0088,General Waste,Hospitality,1,1,168,167,1,298.1,190.1,23.92,332.9,58.12,52.2,8717.77,5125.67,280.82,1122.53,80.31,253.69,6863.02,3592.1,1854.75,21.28,20.29,20.47,11,1,0,None
RDK-0000082,2024-02-13,2024,2,Q1,Tuesday,Prairies,Prairies BU,Regina,RTE-0106,General Waste,Retail,1,1,158,152,6,184.4,116.1,22.95,284.3,53.26,51.53,7831.9,3485.54,206.17,962.25,50.24,194.79,4898.99,4346.36,2932.91,37.45,24.07,25.1,62,0,0,None
RDK-0000083,2022-09-16,2022,9,Q3,Friday,Ontario,GTA BU,Markham,RTE-0058,Recycling,Restaurant & Food Service,1,1,157,155,2,279.1,119.7,19.64,285.6,29.24,70.6,10942.59,822.18,190.36,817.26,73.62,604.91,2508.33,10120.41,8434.26,77.08,21.09,21.12,2,1,0,None
RDK-0000084,2022-02-07,2022,2,Q1,Monday,Quebec,Quebec BU,Longueuil,RTE-0093,Recycling,Retail,2,2,172,167,5,347.2,196.1,22.62,288.6,29.69,56.66,9462.23,1208.3,387.79,971.07,69.23,423.02,3059.41,8253.93,6402.82,67.67,23.89,23.89,0,1,0,None
