route_id,cohort_key,median_margin_pct,cohort_median_margin,pct_days_below_peer,loss_day_rate,tier,tier_code
RTE-0053,General Waste | Retail,40.54,27.09,0.12,0.0,OK,0
RTE-0054,General Waste | Industrial,54.76,48.24,0.277,0.0,OK,0
RTE-0055,Recycling | Restaurant & Food Service,74.17,74.57,0.545,0.0,OK,0
RTE-0056,General Waste | Healthcare,46.44,51.69,0.697,0.008,OK,0
RTE-0057,General Waste | Office & Commercial,10.12,17.51,0.627,0.284,OK,0
RTE-0058,Recycling | Restaurant & Food Service,76.39,74.57,0.29,0.0,OK,0
RTE-0060,General Waste | Retail,39.28,27.09,0.264,0.044,OK,0
RTE-0062,General Waste | Office & Commercial,21.51,17.51,0.402,0.112,OK,0
RTE-0063,Recycling | Retail,68.22,68.42,0.5,0.0,OK,0
RTE-0064,General Waste | Office & Commercial,18.7,17.51,0.473,0.187,OK,0
RTE-0065,General Waste | Office & Commercial,33.91,17.51,0.144,0.01,OK,0
RTE-0066,Organics | Office & Commercial,17.11,19.02,0.531,0.156,OK,0
RTE-0067,General Waste | Hospitality,28.79,31.48,0.568,0.045,OK,0
RTE-0071,General Waste | Office & Commercial,22.75,17.51,0.326,0.137,OK,0
RTE-0072,General Waste | Restaurant & Food Service,46.71,43.55,0.321,0.0,OK,0
RTE-0073,General Waste | Restaurant & Food Service,50.25,43.55,0.242,0.0,OK,0
RTE-0074,General Waste | Industrial,43.23,48.24,0.644,0.0,OK,0
RTE-0075,General Waste | Retail,18.4,27.09,0.695,0.137,OK,0
RTE-0076,Organics | Industrial,49.4,52.07,0.574,0.0,OK,0
RTE-0077,General Waste | Restaurant & Food Service,45.55,43.55,0.434,0.012,OK,0
RTE-0078,General Waste | Restaurant & Food Service,39.73,43.55,0.633,0.0,OK,0
RTE-0079,Organics | Restaurant & Food Service,44.18,45.51,0.55,0.0,OK,0
RTE-0080,Recycling | Industrial,75.59,75.55,0.495,0.0,OK,0
RTE-0082,Recycling | Industrial,75.55,75.55,0.495,0.0,OK,0
RTE-0083,General Waste | Retail,23.62,27.09,0.585,0.037,OK,0
RTE-0084,Recycling | Hospitality,78.73,75.58,0.234,0.0,OK,0
RTE-0085,Recycling | Office & Commercial,68.03,69.05,0.56,0.0,OK,0
RTE-0086,Recycling | Retail,69.09,68.42,0.455,0.0,OK,0
RTE-0087,Cardboard | Office & Commercial,75.09,73.52,0.422,0.0,OK,0
RTE-0088,General Waste | Hospitality,31.67,31.48,0.478,0.011,OK,0
RTE-0089,Organics | Retail,35.57,34.06,0.495,0.011,OK,0
RTE-0091,General Waste | Hospitality,44.15,31.48,0.125,0.0,OK,0
RTE-0092,Recycling | Restaurant & Food Service,73.0,74.57,0.658,0.0,OK,0
RTE-0093,Recycling | Retail,70.11,68.42,0.386,0.0,OK,0
RTE-0094,General Waste | Healthcare,60.76,51.69,0.133,0.0,OK,0
RTE-0095,General Waste | Retail,30.63,27.09,0.398,0.065,OK,0
RTE-0098,Recycling | Office & Commercial,70.18,69.05,0.391,0.0,OK,0
RTE-0099,Recycling | Restaurant & Food Service,72.26,74.57,0.659,0.0,OK,0
RTE-0100,Organics | Restaurant & Food Service,46.52,45.51,0.436,0.0,OK,0
RTE-0101,Organics | Industrial,53.29,52.07,0.409,0.0,OK,0
RTE-0102,Recycling | Restaurant & Food Service,75.07,74.57,0.441,0.0,OK,0
RTE-0103,Recycling | Retail,69.22,68.42,0.444,0.0,OK,0
RTE-0104,General Waste | Retail,25.81,27.09,0.51,0.03,OK,0
RTE-0105,General Waste | Office & Commercial,13.5,17.51,0.617,0.2,OK,0
RTE-0106,General Waste | Retail,33.32,27.09,0.252,0.019,OK,0
RTE-0107,General Waste | Office & Commercial,31.26,17.51,0.205,0.008,OK,0
RTE-0109,Recycling | Office & Commercial,68.21,69.05,0.537,0.0,OK,0
RTE-0110,Organics | Healthcare,50.33,52.16,0.573,0.0,OK,0
RTE-0111,General Waste | Office & Commercial,25.59,17.51,0.33,0.046,OK,0
RTE-0113,Cardboard | Restaurant & Food Service,81.32,78.49,0.2,0.0,OK,0
RTE-0115,General Waste | Industrial,51.71,48.24,0.344,0.0,OK,0
RTE-0118,General Waste | Industrial,43.94,48.24,0.667,0.023,OK,0
RTE-0119,Cardboard | Office & Commercial,72.63,73.52,0.566,0.0,OK,0
RTE-0120,General Waste | Industrial,53.87,48.24,0.306,0.0,OK,0
